field,original_text,word_count,unique_words,categorical_diversity,quantum_circuit_qubits,semantic_interference,emotional_intensity,analysis_version,collapse_mode,collapse_shots,noise_level,von_neumann_entropy_pre,superposition_strength_pre,quantum_coherence_pre,frame_competition_pre,multiple_reality_strength_pre,von_neumann_entropy_post,superposition_strength_post,quantum_coherence_post,frame_competition_post,multiple_reality_strength_post,frame_competition_delta,collapse_unique_outcomes,record_id,data_source
新聞標題,中正高中機器人競賽獲獎 曼巴學院掛國旗,9,9,6,4,0.0,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.6999999999988458,3.9666760648461485,3.7383689880371094,0.9345922470092773,0.9916690162115371,1.6936813984571513,0.008330983782692036,16,0,Journalist_Written
新聞內容,（中央社記者林宏翰洛杉磯2日專電）已故籃球明星布萊恩（Kobe Bryant）創立的曼巴運動學院上週末舉辦機器人競賽，來自台灣的中正高中17名學生團隊，1日在洛杉磯拿下新秀全明星獎、取得赴底特律參加決...,637,360,33,4,0.016020686764734383,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.704806206028266,3.954660993307735,3.734375,0.93359375,0.9886652483269337,1.6962892556948073,0.011334751667295473,16,0,Journalist_Written
新聞標題,國軍戰車隱匿廢五金堆蓄勢待發 創意源自變形金剛,12,12,4,4,0.0,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.6999999999988458,3.953202813639685,3.7336692810058594,0.9334173202514648,0.9883007034099213,1.6911278530843281,0.011699296584307906,16,1,Journalist_Written
新聞內容,（中央社記者游凱翔桃園28日電）陸軍584旅今天在桃園民間資源回收廠實施戰力防護演練，官兵發揮想像與創意，將雲豹甲車偽裝成工程起重車，勇虎戰車隱匿廢五金堆裡，有如電影「變形金剛」博派金剛隱身資材場，待...,519,282,29,4,0.015617999350470561,0.0019267822736030828,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7048780780313473,3.96533370326222,3.737955093383789,0.9344887733459473,0.991333425815555,1.698326800549128,0.008666574178674225,16,1,Journalist_Written
新聞標題,募集人心爭取認同 國民黨設電商中心賣商品,8,8,4,4,0.0,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.6999999999988458,3.9509135500964967,3.7324657440185547,0.9331164360046387,0.9877283875241242,1.6905319751122467,0.012271612470104998,16,2,Journalist_Written
新聞內容,（中央社記者劉冠廷台北17日電）國民黨電商中心今天成立，黨主席江啟臣表示，這不是為了營利，是募集人心的一個過程，爭取更多的認同；此外，他也透露，國民黨的募款餐會已在規劃中，規劃完成後，會再向外界報告。...,424,218,27,4,0.028987141353008523,0.0023584905660377358,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.708931991461352,3.9489491954702802,3.7319984436035156,0.9329996109008789,0.98723729886757,1.6991788286774268,0.012762701126659226,16,2,Journalist_Written
新聞標題,校友捐資 屏科大讀書房可坐臥躺趴,11,11,3,3,0.0,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,2.9999999999884586,3.5,0.875,0.9999999999961527,1.5999999999992307,2.959313772488266,3.471040725708008,0.867760181427002,0.9864379241627553,1.5857038751157542,0.013562075833397413,8,3,Journalist_Written
新聞內容,"（中央社記者郭芷瑄屏東縣28日電）國立屏東科技大學由校友段津華捐資改建的讀書房今天揭牌，讀書房顛覆以往圖書館只能坐著看書，在設計上不但可以坐、臥、躺、趴，還有小包廂，希望讓學生能輕鬆閱讀。

段津華經...",348,218,27,4,0.01186962280159474,0.005747126436781609,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7041355994830023,3.949781772377114,3.7321949005126953,0.9330487251281738,0.9874454430942785,1.6945026483080903,0.012554556899950664,16,3,Journalist_Written
新聞標題,吳朋奉從文青詩人到三金浪流連 一生飄撇始終豁達,13,13,7,4,0.0,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.6999999999988458,3.942309084285638,3.7299442291259766,0.9324860572814941,0.9855772710714095,1.6890931458646725,0.014422728922819705,16,4,Journalist_Written
新聞內容,"（中央社記者趙靜瑜台北26日電）角色上身，演什麼像什麼的三金影帝吳朋奉從小父母離異，曾以寫詩度日，寫的還是台語詩；他於2012年7月在台北電影節上受邀頒獎還脫稿演出「反核宣言」，藝術家性格十足。

法...",903,476,39,4,0.019579822353017817,0.0011074197120708748,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7059846886759582,3.946090880104965,3.7310333251953125,0.9327583312988281,0.9865227200262412,1.6957025627604858,0.013477279967987976,16,4,Journalist_Written
新聞標題,史上最近距離 太陽特寫照大公開,8,8,6,4,0.0,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.6999999999988458,3.9684151211457666,3.739055633544922,0.9347639083862305,0.9921037802864415,1.6940430094752572,0.007896219707787644,16,5,Journalist_Written
新聞內容,"（中央社巴黎16日綜合外電報導）科學家今天表示，他們拍下有史以來最接近太陽的照片，這是研究對地球可能有深遠影響的太陽風和閃焰的泛歐任務一部分。

歐洲太空總署（ESA）的太陽觀測衛星「太陽軌道號」（S...",314,180,30,4,0.01391090666037588,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7041732719969584,3.960653010346404,3.7362537384033203,0.9340634346008301,0.9901632525866011,1.6967074178767612,0.009836747407628077,16,5,Journalist_Written
