field,original_text,word_count,unique_words,categorical_diversity,quantum_circuit_qubits,semantic_interference,emotional_intensity,analysis_version,collapse_mode,collapse_shots,noise_level,von_neumann_entropy_pre,superposition_strength_pre,quantum_coherence_pre,frame_competition_pre,multiple_reality_strength_pre,von_neumann_entropy_post,superposition_strength_post,quantum_coherence_post,frame_competition_post,multiple_reality_strength_post,frame_competition_delta,collapse_unique_outcomes,record_id,data_source
新聞標題,麥當勞性侵案後改革 董事長發聲承諾改善McDonald's Pledges Reform After Assault Scandal,19,19,8,4,0.0,0.05263157894736842,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7052631578935826,3.954841400858879,3.734149932861328,0.933537483215332,0.9887103502147198,1.696665201082212,0.011289649779509414,16,0,AI_Generated
影片對話,"主持人A：「這次麥當勞的公開信算是一種企業危機處理，強調改革，但這樣的措施真的能解決問題嗎？」

📌 名嘴B：「我覺得這封信是必要的，畢竟這起事件社會輿論極大，消費者抵制聲浪也很強。但企業真正要做的，...",282,152,26,4,0.017236277283353963,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.705170883183852,3.949516854125323,3.732481002807617,0.9331202507019043,0.9873792135313306,1.6956391270143192,0.012620786462898548,16,0,AI_Generated
影片描述,台灣麥當勞於今（19日）發表最新聲明，針對去年底發生的職場性侵案，首次公布「3大安心作為」，並承諾加強員工保護機制，提升企業責任。董事長李昌霖發表公開信，強調「沒有任何藉口，企業必須檢討！」，承諾確保...,214,136,23,4,0.01440574168094946,0.014018691588785047,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.705723591662009,3.9604435012911794,3.7362403869628906,0.9340600967407227,0.9901108753227948,1.6982419215128786,0.009889124671434324,16,0,AI_Generated
新聞標題,"回收3.87元遭貪污起訴？清潔隊員案掀社會熱議""Garbage Collectors Indicted for $3.87 Bribery? Public Outrage Ensues""",25,23,6,4,0.003175803402646504,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7009527410196397,3.9627490129816167,3.7369422912597656,0.9342355728149414,0.9906872532454042,1.693867108173781,0.009312746748824985,16,1,AI_Generated
影片對話,"主持人A：今天我們要討論的是近期引發廣泛關注的清潔隊夫妻貪污案，吳姓男子因為轉送二手家具，竟然面臨五年以上的刑責，這樣的判決合理嗎？

名嘴B：這根本就是大砲打小鳥！法條的原意是要防止貪污，但這次的案...",296,180,22,4,0.018078912245578904,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7054236736725195,3.946821804910328,3.731386184692383,0.9328465461730957,0.986705451227582,1.6953192377961432,0.013294548766647152,16,1,AI_Generated
影片描述,台北市萬華區一對清潔隊工作的吳姓夫妻，因涉嫌私自將回收物品轉贈朋友，觸犯《貪污治罪條例》，台北地檢署已正式起訴。然而，案件涉及的不法金額僅新台幣 3.87 元，引發社會廣泛討論。 檢察官表示，根據法律...,205,151,21,4,0.012621183709315276,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7037863551116403,3.9611061415931643,3.7364463806152344,0.9341115951538086,0.9902765353982911,1.6964202144385467,0.009723464595938092,16,1,AI_Generated
新聞標題,Google示警！AI詐騙電話橫行，Gmail用戶警惕Google Alert! AI Scam Calls Targeting Gmail Users,20,17,5,4,0.00726643598615917,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7021799307946934,3.9541384657585494,3.733896255493164,0.933474063873291,0.9885346164396375,1.6934453562810408,0.011465383554591702,16,2,AI_Generated
影片對話,"
主持人：最近 Google 針對 Gmail 用戶發布「紅色警報」，指出 AI 詐騙電話與郵件正在橫行，這手法有多危險？

資安專家 A：這次的詐騙可怕之處在於「偽造度極高」。駭客利用 AI 模仿 ...",268,171,23,4,0.01069164284252279,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7032074928516026,3.956573637972738,3.735025405883789,0.9337563514709473,0.9891434094931845,1.6950463371049094,0.010856590501044705,16,2,AI_Generated
影片描述,Google 近日向全球 18 億 Gmail 用戶發布**「紅色警報」**，警告 AI 驅動的詐騙手法正在猖獗，台灣民眾務必提高警覺！這類詐騙手法會透過 AI 偽造電話和電子郵件，讓用戶誤以為 Gm...,245,140,24,4,0.011844023323615161,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7035532069959303,3.9627469440875345,3.7368507385253906,0.9342126846313477,0.9906867360218836,1.6964308496116176,0.009313263972345553,16,2,AI_Generated
新聞標題,台男走私22公斤古柯鹼入日 創個人紀錄Taiwanese Man Smuggles 22kg Cocaine to Japan,20,19,7,4,0.0024930747922437668,0.0,fast_qiskit_with_collapse_v2.0,mid_circuit,2048,0.15,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.700747922436519,3.9381595859227136,3.727975845336914,0.9319939613342285,0.9845398964806784,1.6888462398685746,0.01546010351355076,16,3,AI_Generated
